epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.569,1.30201,1.15438,0.86763,0.78085,0.72643,0.76747,0.48347,1.0892,0.60773,0.8276,0.000416049,0.000416049,0.000416049
2,713.612,1.01075,0.57809,0.81915,0.83558,0.78398,0.83378,0.55892,0.98392,0.53106,0.81344,0.000750277,0.000750277,0.000750277
3,1050.73,0.94112,0.50066,0.81259,0.88522,0.86992,0.89835,0.61757,0.90704,0.48,0.80962,0.001002,0.001002,0.001002
4,1396.02,0.89538,0.46444,0.80784,0.90766,0.87481,0.9127,0.63537,0.88214,0.45171,0.80532,0.00087875,0.00087875,0.00087875
5,1727.56,0.86431,0.4408,0.80561,0.93268,0.89314,0.93454,0.67532,0.82749,0.42456,0.80172,0.000755,0.000755,0.000755
6,2058.18,0.8359,0.42163,0.80318,0.92792,0.90233,0.93714,0.68083,0.83629,0.42199,0.80096,0.00063125,0.00063125,0.00063125
7,2390.62,0.80978,0.40613,0.80116,0.93013,0.89149,0.93762,0.69241,0.79532,0.40369,0.79723,0.0005075,0.0005075,0.0005075
8,2721.81,0.78238,0.39008,0.79921,0.96535,0.89776,0.94686,0.70101,0.78561,0.39064,0.7955,0.00038375,0.00038375,0.00038375
9,3047.63,0.76529,0.37767,0.79596,0.97516,0.9233,0.95252,0.71987,0.76149,0.37843,0.79328,0.00026,0.00026,0.00026
10,3383.39,0.74457,0.36586,0.79501,0.96736,0.92652,0.95297,0.72653,0.7504,0.36853,0.79219,0.00013625,0.00013625,0.00013625
